,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,16882,1738.85,61,0.36%,0,0.00%
18-44,183183,48070,2624.15,298,0.62%,48,0.10%
45-64,116628,24593,2108.67,666,2.71%,231,0.94%
65-74,46724,6552,1402.28,561,8.56%,261,3.98%
75+,31987,4301,1344.61,749,17.41%,551,12.81%
,,,,,,,
Females,244460,53525,2189.52,1163,2.17%,493,0.92%
Males,231149,46091,1994.00,1169,2.54%,598,1.30%
Unknown,N/A,782,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1168,995.14,20,1.71%,7,0.60%
Black,42291,8301,1962.83,285,3.43%,100,1.20%
White,408000,70581,1729.93,1932,2.74%,943,1.34%
Hawaiian/Pacific Islander,585,117,2000.00,5,4.27%,1,0.85%
Other ,12996,5743,4419.05,41,0.71%,6,0.10%
Unknown,N/A,14488,N/A,52,0.36%,34,0.23%
,,,,,,,
Hispanic,22336,3957,1771.58,95,2.40%,17,0.43%
Non-Hispanic,453273,65865,1453.10,2114,3.21%,987,1.50%
Unknown,N/A,30576,N/A,126,0.41%,87,0.28%
,,,,,,,
Total,"475,609",100398,2110.94,2335,2.33%,1091,1.09%
