,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5988,618.43,27,0.45%,0,0.00%,,,
18-44,"173,546",24160,1392.14,176,0.73%,11,0.05%,,,
45-64,"116,740",12989,1112.64,359,2.76%,86,0.66%,,,
65-74,"40,633",3659,900.50,300,8.20%,141,3.85%,,,
75+,"28,440",2613,918.78,460,17.60%,371,14.20%,,,
,,,,,,,,,,
Females,242211,26178,1080.79,661,2.53%,281,1.07%,,,
Males,228102,22896,1003.76,657,2.87%,328,1.43%,,,
Unknown,N/A,335,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,604,535.13,13,2.15%,5,0.83%,,,
Black,41858,3698,883.46,149,4.03%,39,1.05%,,,
White,404469,37456,926.05,1103,2.94%,534,1.43%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1591,1301.01,22,1.38%,3,0.19%,,,
Unknown,N/A,6001,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2656,1283.46,71,2.67%,6,0.23%,,,
Non-Hispanic,449619,37097,825.08,1197,3.23%,545,1.47%,,,
Unknown,N/A,9656,N/A,54,0.56%,58,0.60%,,,
,,,,,,,,,,
Total,"470,313",49409,1050.56,1322,2.68%,609,1.23%,,,
