,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6409,661.91,28,0.44%,0,0.00%,,
18-44,"173,546",25572,1473.50,191,0.75%,12,0.05%,,
45-64,"116,740",13691,1172.78,396,2.89%,97,0.71%,,
65-74,"40,633",3789,932.49,318,8.39%,144,3.80%,,
75+,"28,440",2664,936.71,479,17.98%,384,14.41%,,
,,,,,,,,,
Females,242211,27559,1137.81,704,2.55%,289,1.05%,,
Males,228102,24216,1061.63,704,2.91%,348,1.44%,,
Unknown,N/A,350,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,635,562.59,14,2.20%,5,0.79%,,
Black,41858,3915,935.31,161,4.11%,44,1.12%,,
White,404469,39747,982.70,1178,2.96%,557,1.40%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1793,1466.19,22,1.23%,3,0.17%,,
Unknown,N/A,5971,N/A,33,0.55%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2786,1346.28,73,2.62%,6,0.22%,,
Non-Hispanic,449619,39671,882.32,1279,3.22%,572,1.44%,,
Unknown,N/A,9668,N/A,60,0.62%,59,0.61%,,
,,,,,,,,,
Total,"470,313",52125,1108.30,1412,2.71%,637,1.22%,,
